province_code,province,province_id,year,Emissions_Tons,Poverty_Rate_Percent,Tax_Score,Tax_Rate,Tax_Rate_Rp_Per_Ton,Government_Revenue_Rp,Government_Revenue_Trillions,National_Total_Trillions,Contribution_Percent
34,DI Yogyakarta,34,2011,9551870.0,16.08,0.2635420560836792,39.531307220458984,39531.307220458984,377597907499.88556,0.37759790749988553,103.47364981626575,0.36492180199536006
34,DI Yogyakarta,34,2012,5576980.0,15.965,0.2605678141117096,39.08517074584961,39085.17074584961,217977215546.18835,0.21797721554618835,78.72615407483158,0.27688030503686795
34,DI Yogyakarta,34,2013,6147940.0,15.23,0.26960489153862,40.44073486328125,40440.73486328125,248627211495.36133,0.24862721149536132,123.95435609311565,0.2005796482929493
34,DI Yogyakarta,34,2014,6691050.0,14.775,0.27529376745224,41.294063568115234,41294.063568115234,276300644037.43744,0.2763006440374374,96.7359508401548,0.28562353668698925
34,DI Yogyakarta,34,2015,7128860.0,14.035,0.28385627269744873,42.57844161987305,42578.44161987305,303535749326.24817,0.30353574932624816,153.75591472698642,0.19741403110587014
34,DI Yogyakarta,34,2016,8861080.0,13.22,0.2947055697441101,44.20583724975586,44205.83724975586,391711460337.06665,0.39171146033706666,95.39733471479137,0.4106104866641853
34,DI Yogyakarta,34,2017,13581380.0,12.69,0.3064376413822174,45.96564483642578,45965.64483642578,624276889468.5364,0.6242768894685363,142.49052763509624,0.4381181681544797
34,DI Yogyakarta,34,2018,4783450.0,11.97,0.3026300072669983,45.394500732421875,45394.500732421875,217142324528.50342,0.2171423245285034,130.05684757562045,0.16695954774872415
34,DI Yogyakarta,34,2019,5145300.0,11.57,0.30738380551338196,46.10757064819336,46107.57064819336,237237283256.1493,0.2372372832561493,166.97311581775486,0.1420811261107957
34,DI Yogyakarta,34,2020,8643690.0,12.54,0.3016529083251953,45.2479362487793,45247.9362487793,391109134074.2111,0.3911091340742111,99.50137786527935,0.3930690634292083
34,DI Yogyakarta,34,2021,9814511.884112805,11.985951025187969,0.3091277778148651,46.36916667222977,46369.16667222977,455090737361.0065,0.45509073736100647,123.44367022788359,0.3686626754704269
